Week,Sched Games,Sched Byes,Unsched Games,Unsched Byes,Unsched Teams,Team1,Team2,Team3,Team4
17,16,0,223,0,0,0,0,U:pat:dol:0.0:0.0:0,U:pat:jet:4.0:0.0:0,U:dol:pat:0.0:0.0:0
9,13,4,113,0,2,jaguars,Bears,S:2:tex:tit:-1.8938888888888887:0.0,S:3:pac:lio:-1.8399014778325122:0.0,S:4:eag:cow:-2.6781746031746034:0.0,U:lio:vik:5.1600985221674875:2.0:0,U:car:sea:12.202380952380954:2.0:0,U:dol:jet:7.250576036866359:2.0:0
10,12,4,128,0,4,giants,eagles,dolphins,panthers,S:2:pac:vik:-2.102960102960103:0.0,S:3:buc:fal:-1.8927318295739348:0.0,S:4:sai:ram:-1.7944250871080138:0.0,U:lio:vik:5.111325611325611:2.0:0,U:car:sea:5.246428571428572:2.0:0,U:dol:jet:4.820238095238095:2.0:0
10,12,6,128,0,2,redskins,Chiefs,S:2:49e:gia:2.130952380952381:2.0,S:3:eag:fal:0.03452380952380951:0.0,S:4:pac:dol:0.09999999999999995:0.0,U:lio:vik:5.082573454913881:2.0:0,U:car:sea:5.308035714285714:2.0:0,U:dol:jet:11.312026416405978:2.0:0
10,13,4,127,0,2,giants,Seahawks,S:2:jag:red:0.029281345565749184:0.0,S:3:chi:cha:4.026689708141321:0.0,S:4:buc:fal:-1.8165159734779988:0.0,U:lio:vik:5.085679527285366:2.0:0,U:car:sea:5.200396825396826:2.0:0,U:dol:jet:5.558874458874459:2.0:0
10,14,4,126,0,0,0,0,S:2:gia:cow:3.128828828828829:0.0,S:3:bea:sea:3.2196969696969697:0.0,S:4:pac:vik:-2.078095238095238:0.0,U:lio:vik:5.162857142857143:2.0:0,U:car:sea:5.248376623376624:2.0:0,U:dol:jet:2.349084249084249:2.0:0
9,13,4,113,0,2,jaguars,Rams,S:2:pan:fal:-2.9167893961708398:0.0,S:3:eag:cow:-2.7118606701940036:0.0,S:4:tex:tit:-1.871031746031746:0.0,U:lio:vik:6.099206349206349:2.0:0,U:car:sea:12.04796918767507:2.0:0,U:dol:jet:8.224878934624698:2.0:0
9,15,1,111,0,1,texans,S:1:jag:tit:0.07735042735042741:0.0,S:2:ram:car:3.102380952380952:0.0,S:3:pan:fal:-2.908385093167702:0.0,U:lio:vik:7.738095238095238:2.0:0,U:car:sea:12.01547619047619:2.0:0,U:dol:jet:10.271103896103895:2.0:0
9,13,4,113,0,2,jaguars,Rams,S:2:tex:tit:-1.8901775486827033:0.0,S:3:pan:fal:-2.892857142857143:0.0,S:4:eag:cow:-2.717670401493931:0.0,U:lio:vik:6.099206349206349:2.0:0,U:car:sea:12.04796918767507:2.0:0,U:dol:jet:8.224878934624698:2.0:0
9,15,1,111,0,1,texans,S:1:jag:tit:0.07735042735042741:0.0,S:2:ram:car:3.102380952380952:0.0,S:3:pan:fal:-2.908385093167702:0.0,U:lio:vik:7.738095238095238:2.0:0,U:car:sea:12.01547619047619:2.0:0,U:dol:jet:10.271103896103895:2.0:0
9,13,4,113,0,2,jaguars,Rams,S:2:tex:tit:-1.8901775486827033:0.0,S:3:pan:fal:-2.892857142857143:0.0,S:4:eag:cow:-2.717670401493931:0.0,U:lio:vik:6.099206349206349:2.0:0,U:car:sea:12.04796918767507:2.0:0,U:dol:jet:8.224878934624698:2.0:0
9,15,1,111,0,1,texans,S:1:jag:tit:0.07735042735042741:0.0,S:2:ram:car:3.102380952380952:0.0,S:3:pan:fal:-2.908385093167702:0.0,U:car:sea:12.01547619047619:2.0:0,U:dol:jet:10.271103896103895:2.0:0,U:49e:lio:6.278975741239892:2.0:0
9,12,6,114,0,2,jaguars,Rams,S:2:tex:tit:-1.8743540051679586:0.0,S:3:pan:fal:-2.8796477495107635:0.0,S:4:eag:cow:-2.6973864258347016:0.0,U:car:sea:12.00473137973138:2.0:0,U:dol:jet:8.232142857142858:2.0:0,U:49e:lio:6.19108669108669:2.0:0
9,13,4,113,0,2,texans,Lions,S:2:jag:tit:0.0967353951890035:0.0,S:3:ram:car:3.0939775910364142:0.0,S:4:pan:fal:-2.8714285714285714:0.0,U:car:sea:12.016596638655463:2.0:0,U:dol:jet:9.269285714285715:2.0:0,U:49e:lio:6.210963455149502:2.0:0
9,12,6,114,0,2,jaguars,Rams,S:2:tex:tit:-1.8743540051679586:0.0,S:3:pan:fal:-2.8796477495107635:0.0,S:4:eag:cow:-2.6973864258347016:0.0,U:car:sea:12.00473137973138:2.0:0,U:dol:jet:8.232142857142858:2.0:0,U:49e:lio:6.19108669108669:2.0:0
9,13,4,113,0,2,texans,Browns,S:2:jag:tit:0.0967353951890035:0.0,S:3:ram:car:3.0939775910364142:0.0,S:4:pan:fal:-2.8714285714285714:0.0,U:car:sea:12.016596638655463:2.0:0,U:dol:jet:9.269285714285715:2.0:0,U:49e:lio:6.210963455149502:2.0:0
9,11,6,115,0,4,jets,jaguars,buccaneers,Rams,S:2:tex:tit:-1.8743540051679586:0.0,S:3:bro:fal:0.16976516634050876:0.0,S:4:eag:cow:-2.677422723475355:0.0,U:car:sea:12.00473137973138:2.0:0,U:dol:jet:8.216945288753799:2.0:0,U:49e:lio:6.19108669108669:2.0:0
9,13,4,113,0,2,redskins,Lions,S:2:jet:bro:0.11775895925380458:0.0,S:3:jag:tit:0.10679012345679018:0.0,S:4:sai:buc:3.0440476190476193:0.0,U:car:sea:12.048645320197044:2.0:0,U:dol:jet:9.2129970544919:2.0:0,U:49e:lio:6.2293233082706765:2.0:0
9,12,4,114,0,4,jets,jaguars,Rams,Bengals,S:2:gia:red:-0.6890034364261169:0.0,S:3:lio:pan:4.18956043956044:0.0,S:4:eag:cow:-2.6814713064713067:0.0,U:car:sea:12.060714285714287:2.0:0,U:dol:jet:2.176242236024845:2.0:0,U:49e:lio:6.173992673992673:2.0:0
9,13,4,113,0,2,buccaneers,Lions,S:2:jet:bro:0.11775895925380458:0.0,S:3:jag:tit:0.10679012345679018:0.0,S:4:ram:car:3.088095238095238:0.0,U:car:sea:12.025:2.0:0,U:dol:jet:9.2129970544919:2.0:0,U:49e:lio:6.321428571428571:2.0:0
9,14,1,112,0,3,jets,colts,Bengals,S:1:sai:buc:2.9980158730158726:0.0,S:2:bea:lio:4.1240175681923255:0.0,S:3:pan:fal:-2.9464285714285716:0.0,U:car:sea:12.11525974025974:2.0:0,U:dol:jet:6.252922077922078:2.0:0,U:49e:lio:6.197642163661581:2.0:0
9,15,1,111,0,1,Packers,S:1:jet:bro:0.09661172161172157:0.0,S:2:col:gia:0.07428571428571425:0.0,S:3:chi:ben:0.11904761904761901:0.0,U:car:sea:12.116596638655464:2.0:0,U:dol:jet:10.217490842490841:2.0:0,U:49e:lio:6.3655462184873945:2.0:0
9,12,6,114,0,2,jets,Rams,S:2:pan:fal:-2.9086378737541527:0.0,S:3:eag:cow:-2.6944723898949254:0.0,S:4:tex:tit:-1.847222222222222:0.0,U:car:sea:12.00473137973138:2.0:0,U:dol:jet:8.232142857142858:2.0:0,U:49e:lio:6.19108669108669:2.0:0
9,13,4,113,0,2,Lions,Steelers,S:2:jet:bro:0.11775895925380458:0.0,S:3:ram:car:3.0745149911816583:0.0,S:4:pan:fal:-2.865949119373777:0.0,U:car:sea:12.009479717813052:2.0:0,U:dol:jet:9.2129970544919:2.0:0,U:49e:lio:6.227678571428571:2.0:0
9,12,6,114,0,2,jaguars,Rams,S:2:pan:fal:-2.9086378737541527:0.0,S:3:rai:ste:0.2184216409568522:0.0,S:4:eag:cow:-2.6658259348937317:0.0,U:car:sea:12.00473137973138:2.0:0,U:dol:jet:8.278474903474905:2.0:0,U:49e:lio:6.19108669108669:2.0:0
9,13,4,113,0,2,texans,Browns,S:2:jag:tit:0.0967353951890035:0.0,S:3:ram:car:3.0939775910364142:0.0,S:4:pan:fal:-2.8714285714285714:0.0,U:car:sea:12.016596638655463:2.0:0,U:dol:jet:9.269285714285715:2.0:0,U:49e:lio:6.210963455149502:2.0:0
9,12,6,114,0,2,jets,Rams,S:2:tex:tit:-1.8743540051679586:0.0,S:3:bro:fal:0.16976516634050876:0.0,S:4:eag:cow:-2.677422723475355:0.0,U:car:sea:12.00473137973138:2.0:0,U:dol:jet:8.216945288753799:2.0:0,U:49e:lio:6.19108669108669:2.0:0
10,15,2,125,0,0,0,0,S:2:pac:vik:-2.1233411397345825:0.0,S:3:buc:fal:-1.8601691143747219:0.0,S:4:car:lio:-1.792402354200107:0.0,U:car:sea:5.235353130016051:2.0:0,U:dol:jet:11.312026416405978:2.0:0,U:49e:lio:0.19636169074371335:2.0:0
9,12,6,113,0,2,buccaneers,Lions,S:2:eag:cow:-2.9067460317460316:0.0,S:3:ste:fal:-2.0221861471861473:0.0,S:4:red:tex:-1.849120082815735:0.0,U:car:sea:12.072876447876448:2.0:0,U:dol:jet:5.414614121510673:2.0:0,U:49e:lio:6.422779922779923:2.0:0
9,13,4,112,0,2,colts,Chiefs,S:2:buc:pan:-0.007395382395382372:0.0,S:3:lio:pat:4.226190476190476:0.0,S:4:eag:cow:-2.9067460317460316:0.0,U:car:sea:12.177380952380952:2.0:0,U:dol:jet:4.45876887340302:2.0:0,U:49e:lio:6.214285714285714:2.0:0
9,13,4,112,0,2,texans,buccaneers,S:2:eag:col:0.12536075036075034:0.0,S:3:ste:chi:-2.0127450980392156:0.0,S:4:red:fal:-1.8956043956043955:0.0,U:car:sea:12.116596638655464:2.0:0,U:dol:jet:0.3791554357592093:2.0:0,U:49e:lio:6.453781512605042:2.0:0
9,13,6,112,0,0,0,0,S:2:red:tex:-1.8511904761904763:0.0,S:3:buc:pan:0.02002164502164505:0.0,S:4:eag:cow:-2.9226190476190474:0.0,U:car:sea:12.077380952380954:2.0:0,U:dol:jet:4.45578231292517:2.0:0,U:49e:lio:6.404761904761904:2.0:0
8,13,6,100,0,0,0,0,S:2:sai:buc:-3.8715277777777777:0.0,S:3:bro:rav:-1.9779874213836477:0.0,S:4:col:jag:-1.8958874458874457:0.0,U:car:sea:2.066666666666667:2.0:0,U:dol:jet:12.238095238095237:2.0:0,U:49e:lio:5.03125:2.0:0
7,13,4,88,0,2,bills,panthers,S:2:cha:chi:-4.911152570480929:0.0,S:3:car:ram:-3.0404214559386973:0.0,S:4:49e:bea:-1.9433333333333334:0.0,U:car:sea:2.066666666666667:2.0:0,U:dol:jet:7.491830065359478:2.0:0,U:49e:lio:5.076666666666666:2.0:0
7,13,4,88,0,2,texans,49ers,S:2:bil:bea:-1.9191542288557213:0.0,S:3:pan:sai:-3.0338383838383836:0.0,S:4:cha:chi:-4.860342789598109:0.0,U:car:sea:2.066666666666667:2.0:0,U:49e:lio:5.116666666666667:2.0:0,U:buc:sai:7.128472222222222:2.0:0
7,13,4,88,0,2,bills,buccaneers,S:2:tex:gia:6.07515829941203:0.0,S:3:49e:bea:-1.9333333333333336:0.0,S:4:cha:chi:-4.870555555555556:0.0,U:car:sea:2.066666666666667:2.0:0,U:49e:lio:5.083333333333333:2.0:0,U:buc:sai:7.128472222222222:2.0:0
