FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count,GamesInWeek,HighSeqNum 
2.6536943774227E13,5,2158,0,2.1058646804458E13,1,15,16
2.4868929030533E13,5,2199,0,2.1058646804458E13,1,15,16
3.3628803958421E13,4,2203,0,2.4868929030533E13,1,16,16
3.3238502836245E13,4,2226,0,2.4868929030533E13,1,16,16
3.3184945344677E13,4,2249,0,2.4868929030533E13,1,16,16
3.3184945344677E13,4,2272,0,2.4868929030533E13,2,15,15
3.3238502836245E13,4,2274,0,2.4868929030533E13,2,15,15
3.3238502836245E13,4,2276,0,2.4868929030533E13,3,14,14
3.3238502836245E13,4,2278,0,2.4868929030533E13,4,13,13
3.3533018656893E13,4,2280,0,2.4868929030533E13,1,16,16
3.3533018656893E13,4,2303,0,2.4868929030533E13,2,15,15
3.3193007587901E13,4,2305,0,2.4868929030533E13,1,16,16
2.09088063942E11,16,2328,0,4.2809158174E10,1,16,14
5.47254096468E11,15,2331,0,2.09088063942E11,1,16,15
1.127997325588E12,14,2332,0,5.47254096468E11,1,16,14
2.047530982288E12,13,2334,0,1.127997325588E12,1,15,15
3.17736878728E12,12,2336,0,2.047530982288E12,1,16,14
4.546550083595E12,11,2337,0,3.17736878728E12,1,15,15
6.239699321419E12,10,2338,0,4.546550083595E12,1,14,15
8.613601172479E12,9,2341,0,6.239699321419E12,1,14,15
1.1634337822679E13,8,2343,0,8.613601172479E12,1,15,15
1.1483547029279E13,8,2370,0,8.613601172479E12,1,13,13
1.1243572115279E13,8,2395,0,8.613601172479E12,1,14,14
1.4987700123922E13,7,2396,0,1.1243572115279E13,1,14,14
2.1281153016754E13,6,2399,0,1.4987700123922E13,1,13,13
2.0596146792274E13,6,2425,0,1.4987700123922E13,1,14,14
2.1078884078722E13,6,2447,0,1.4987700123922E13,1,15,15
2.1100763491858E13,6,2474,0,1.4987700123922E13,1,13,13
2.1078884078722E13,6,2496,0,1.4987700123922E13,2,14,15
2.077038137701E13,6,2510,0,1.4987700123922E13,1,14,14
2.6886800586508E13,5,2514,0,2.077038137701E13,1,15,16
2.0596146792274E13,6,2557,0,1.4987700123922E13,2,13,14
2.0596146792274E13,6,2558,0,1.4987700123922E13,3,12,13
2.0596146792274E13,6,2559,0,1.4987700123922E13,4,11,12
2.1078884078722E13,6,2560,0,1.4987700123922E13,3,13,15
2.0596146792274E13,6,2561,0,1.4987700123922E13,5,10,11
2.0596146792274E13,6,2562,0,1.4987700123922E13,6,9,9
2.0596146792274E13,6,2563,0,1.4987700123922E13,7,8,8
2.1261491446546E13,6,2576,0,1.4987700123922E13,1,13,13
2.1078884078722E13,6,2598,0,1.4987700123922E13,4,12,14
2.1125081356786E13,6,2599,0,1.4987700123922E13,1,13,13
2.0596146792274E13,6,2632,0,1.4987700123922E13,8,7,9
1.5271832565438E13,7,2647,0,1.1243572115279E13,1,13,13
2.1305920989102E13,6,2649,0,1.5271832565438E13,1,14,14
2.0707831245966E13,6,2672,0,1.5271832565438E13,1,13,13
2.1018209797806E13,6,2695,0,1.5271832565438E13,1,14,14
2.0707831245966E13,6,2717,0,1.5271832565438E13,2,12,13
2.1018209797806E13,6,2719,0,1.5271832565438E13,2,13,14
2.1018209797806E13,6,2721,0,1.5271832565438E13,3,12,12
2.1018209797806E13,6,2725,0,1.5271832565438E13,4,11,11
1.5055703360421E13,7,2740,0,1.1243572115279E13,1,15,14
2.1507523976949E13,6,2742,0,1.5055703360421E13,1,15,15
2.1189618182085E13,6,2769,0,1.5055703360421E13,1,15,15
2.0311199758149E13,6,2796,0,1.5055703360421E13,1,13,13
2.0311199758149E13,6,2819,0,1.5055703360421E13,2,12,13
